priority,tier,situation_id,reason,pass2_consensus,proposed_label,p1_actions
HIGH,1,BP5_01,mandatory_confident_split,BET,BET,BET/BET/BET/CHECK
HIGH,2,BP4_19,mandatory_majority_split,CHECK,CHECK,CHECK/BET/BET/CHECK
HIGH,2,BP4_21,mandatory_majority_split,CHECK,CHECK,BET/CHECK/CHECK/BET
HIGH,2,BP5_12,mandatory_majority_split,BET,BET,BET/BET/CHECK/CHECK
HIGH,2,BP7_01,mandatory_majority_split,CALL,CALL,RAISE/CALL/CALL/RAISE
HIGH,2,d2788_UTG_flop,mandatory_majority_split,BET,BET,BET/BET/CHECK/CHECK
HIGH,2,d4312_CO_turn,mandatory_majority_split,BET,BET,BET/CHECK/BET/CHECK
HIGH,2,d5222_BTN_flop,mandatory_majority_split,FOLD,FOLD,CALL/CALL/FOLD/FOLD
HIGH,2,d5620_CO_turn,mandatory_majority_split,FOLD,FOLD,CALL/FOLD/CALL/FOLD
HIGH,2,d5749_HJ_turn,mandatory_majority_split,FOLD,FOLD,CALL/FOLD/FOLD/CALL
HIGH,2,d8002_BTN_flop,mandatory_majority_split,CALL,CALL,FOLD/CALL/CALL/FOLD
HIGH,2,d8886_BTN_flop,mandatory_majority_split,CHECK,CHECK,BET/CHECK/CHECK/BET
HIGH,2,d8963_HJ_turn,mandatory_majority_split,CHECK,CHECK,BET/CHECK/BET/CHECK
HIGH,2,d9556_BB_flop,mandatory_majority_split,CHECK,CHECK,CHECK/CHECK/BET/BET
HIGH,5,d1983_BTN_turn,tier5_challenger_flagged,CHECK,CHECK,BET/BET/BET/BET
MEDIUM,3,BP1_05,panel_majority_flagged,RAISE,RAISE,RAISE/RAISE/RAISE/CALL
MEDIUM,3,BP1_08,panel_majority_flagged,CALL,CALL,RAISE/CALL/RAISE/RAISE
MEDIUM,3,BP2_18,panel_majority_flagged,CALL,CALL,CALL/FOLD/CALL/CALL
MEDIUM,3,BP4_20,panel_majority_flagged,CHECK,CHECK,BET/CHECK/CHECK/CHECK
MEDIUM,3,BP4_35,panel_majority_flagged,CHECK,CHECK,CHECK/CHECK/BET/CHECK
MEDIUM,3,BP5_10,panel_majority_flagged,CHECK,CHECK,CHECK/CHECK/BET/CHECK
MEDIUM,3,BP6_04,panel_majority_flagged,RAISE,RAISE,CALL/RAISE/RAISE/RAISE
MEDIUM,3,d0244_CO_river,panel_majority_flagged,CALL,CALL,CALL/FOLD/CALL/CALL
MEDIUM,3,d5066_BTN_river,panel_majority_flagged,CALL,CALL,CALL/CALL/FOLD/CALL
MEDIUM,3,d7760_BTN_river,panel_majority_flagged,CALL,CALL,FOLD/CALL/CALL/CALL
LOW,4,BP1_01,tier4_expert_flagged,RAISE,RAISE,RAISE/RAISE/CALL/RAISE
LOW,4,BP1_07,tier4_expert_flagged,RAISE,RAISE,RAISE/CALL/RAISE/RAISE
LOW,4,BP1_19,tier4_expert_flagged,RAISE,RAISE,RAISE/RAISE/CALL/RAISE
LOW,4,BP1_25,tier4_expert_flagged,FOLD,FOLD,FOLD/CALL/FOLD/FOLD
LOW,4,BP2_16,tier4_expert_flagged,CALL,CALL,FOLD/CALL/CALL/CALL
LOW,4,BP2_31,tier4_expert_flagged,RAISE,RAISE,CALL/RAISE/RAISE/RAISE
LOW,4,BP2_33,tier4_expert_flagged,CALL,CALL,CALL/RAISE/CALL/CALL
LOW,4,BP4_12,tier4_expert_flagged,BET,BET,BET/CHECK/BET/BET
LOW,4,BP4_24,tier4_expert_flagged,BET,BET,BET/BET/CHECK/BET
LOW,4,BP7_12,tier4_expert_flagged,FOLD,FOLD,FOLD/FOLD/CALL/FOLD
LOW,4,d1764_BTN_flop,tier4_expert_flagged,CHECK,CHECK,BET/CHECK/CHECK/CHECK
LOW,4,d1971_HJ_river,tier4_expert_flagged,BET,BET,BET/CHECK/BET/BET
